,copyright,date,location,panoLAT,panoLON,pano_id,searchLAT,searchLON,status
0,"© Google, Inc.",2015-07,"{'lat': 40.3052531, 'lng': -105.0717982}",40.3052531,-105.0717982,0UBIqY7LJyaCB_du7KNj5Q,40.305424,-105.07177999999999,OK
1,"© Google, Inc.",2012-08,"{'lat': 40.30588139616572, 'lng': -105.071740212336}",40.30588139616572,-105.071740212336,5SW5HK16Tfp8Ofcy5zIr5Q,40.30560366305683,-105.07177999999999,OK
5,"© Google, Inc.",2012-08,"{'lat': 40.30635385669696, 'lng': -105.0713760831154}",40.30635385669696,-105.0713760831154,i67CEuVvRT48TV9P-QXPgw,40.30632231528412,-105.07177999999999,OK
6,"© Google, Inc.",2012-08,"{'lat': 40.30654270513633, 'lng': -105.0713784740194}",40.30654270513633,-105.0713784740194,x7YMctUULeDfrQ2c3N7TCQ,40.30650197834095,-105.07177999999999,OK
7,"© Google, Inc.",2012-08,"{'lat': 40.30672256079287, 'lng': -105.0713807510709}",40.30672256079287,-105.0713807510709,agLH2yNE7lEvkXt-fQOZBw,40.30668164139777,-105.07177999999999,OK
8,"© Google, Inc.",2012-08,"{'lat': 40.30691140923224, 'lng': -105.0713831419749}",40.30691140923224,-105.0713831419749,hA_MzEeITZ7FwPbgBA7qug,40.30686130445459,-105.07177999999999,OK
9,"© Google, Inc.",2012-08,"{'lat': 40.30701032984334, 'lng': -105.0713843943532}",40.30701032984334,-105.0713843943532,tlxUWsI9q4zPY-IfHA4irA,40.30704096751142,-105.07177999999999,OK
10,"© Google, Inc.",2012-08,"{'lat': 40.307441713954, 'lng': -105.0717663514675}",40.307441713954,-105.0717663514675,7d4hguLl-_TSIJigTVRz2Q,40.30722063056824,-105.07177999999999,OK
13,"© Google, Inc.",2012-08,"{'lat': 40.30772194570098, 'lng': -105.071388925169}",40.30772194570098,-105.071388925169,za9EnQFrq9mNStjm_PjrRA,40.30775961973871,-105.07177999999999,OK
14,"© Google, Inc.",2012-08,"{'lat': 40.30821382525875, 'lng': -105.0717999523809}",40.30821382525875,-105.0717999523809,sC_qAMyteogogHPY_Oh9ag,40.30793928279554,-105.07177999999999,OK
18,"© Google, Inc.",2012-08,"{'lat': 40.308679338263, 'lng': -105.0713908400414}",40.308679338263,-105.0713908400414,LASvrUqt6iGcQnhwLw0Cmg,40.308657935022836,-105.07177999999999,OK
19,"© Google, Inc.",2012-08,"{'lat': 40.3088681921769, 'lng': -105.0713923100582}",40.3088681921769,-105.0713923100582,KnNrSdJ73hP_C8yw5Ep9-Q,40.308837598079656,-105.07177999999999,OK
20,"© Google, Inc.",2012-08,"{'lat': 40.30904805304728, 'lng': -105.0713937100741}",40.30904805304728,-105.0713937100741,rrLfTTf-TW5EG0E_cpVhsw,40.30901726113648,-105.07177999999999,OK
21,"© Google, Inc.",2012-08,"{'lat': 40.30923690696119, 'lng': -105.0713951800908}",40.30923690696119,-105.0713951800908,nqFqvL2AbLqNBkLZw_Fo9Q,40.3091969241933,-105.07177999999999,OK
22,"© Google, Inc.",2012-08,"{'lat': 40.30941991900893, 'lng': -105.0713966045905}",40.30941991900893,-105.0713966045905,UWOBKzJ9DP3wi2ls6M845Q,40.30937658725013,-105.07177999999999,OK
